language,model,all_feats,p (0),r (0),f1 (0),p (1),r (1),f1 (1),p (macro),r (macro),f1 (macro),acc,dim. training set,dim. test set
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform ngrams deprel Sidorovbigramsupostag,0.672,0.995,0.802,0.737,0.029,0.055,0.704,0.512,0.429,0.673,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsform ngrams deprelneg deprel Sidorovbigramsupostag,0.672,0.995,0.802,0.737,0.029,0.055,0.704,0.512,0.429,0.673,5853,1464
french,RF,relationformADJ Sidorovbigramsdeprel Sidorovbigramsform ngrams Sidorovbigramsupostag,0.672,0.994,0.802,0.700,0.029,0.055,0.686,0.511,0.428,0.672,5853,1464
french,RF,relationformVERB Sidorovbigramsform ngrams deprel Sidorovbigramsupostag,0.672,0.994,0.802,0.700,0.029,0.055,0.686,0.511,0.428,0.672,5853,1464
french,RF,relationformVERB Sidorovbigramsform ngrams deprelneg deprel Sidorovbigramsupostag,0.672,0.994,0.802,0.700,0.029,0.055,0.686,0.511,0.428,0.672,5853,1464
french,RF,relationformADJ deprelneg deprel,0.667,0.966,0.790,0.353,0.037,0.067,0.510,0.502,0.428,0.656,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsform ngrams deprelneg deprel Sidorovbigramsupostag,0.672,0.993,0.801,0.667,0.029,0.055,0.669,0.511,0.428,0.671,5853,1464
french,RF,relationformADJ Sidorovbigramsform deprelneg Sidorovbigramsupostag,0.671,0.992,0.801,0.636,0.029,0.055,0.654,0.510,0.428,0.671,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsform ngrams Sidorovbigramsupostag,0.671,0.992,0.801,0.636,0.029,0.055,0.654,0.510,0.428,0.671,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsdeprel ngrams deprel Sidorovbigramsupostag,0.672,0.998,0.803,0.867,0.027,0.052,0.769,0.512,0.428,0.674,5853,1464
french,RF,relationformVERB relationformADJ deprel,0.669,0.976,0.794,0.410,0.033,0.061,0.540,0.505,0.427,0.662,5853,1464
french,RF,relationformADJ Sidorovbigramsdeprel Sidorovbigramsform ngrams deprelneg deprel Sidorovbigramsupostag,0.672,0.997,0.803,0.813,0.027,0.052,0.742,0.512,0.427,0.674,5853,1464
french,RF,relationformNOUN Sidorovbigramsdeprel deprelneg,0.671,0.990,0.800,0.583,0.029,0.055,0.627,0.509,0.427,0.669,5853,1464
french,RF,relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform ngrams deprelneg deprel Sidorovbigramsupostag,0.672,0.997,0.803,0.813,0.027,0.052,0.742,0.512,0.427,0.674,5853,1464
french,RF,relationformVERB relationformADJ ngrams deprel Sidorovbigramsupostag,0.672,0.997,0.803,0.813,0.027,0.052,0.742,0.512,0.427,0.674,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN ngrams deprelneg deprel Sidorovbigramsupostag,0.672,0.997,0.803,0.813,0.027,0.052,0.742,0.512,0.427,0.674,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel ngrams Sidorovbigramsupostag,0.672,0.997,0.803,0.813,0.027,0.052,0.742,0.512,0.427,0.674,5853,1464
french,RF,relationformVERB relationformADJ Sidorovbigramsdeprel ngrams deprel Sidorovbigramsupostag,0.672,0.997,0.803,0.813,0.027,0.052,0.742,0.512,0.427,0.674,5853,1464
french,RF,relationformVERB relationformADJ Sidorovbigramsform ngrams deprelneg deprel Sidorovbigramsupostag,0.672,0.997,0.803,0.813,0.027,0.052,0.742,0.512,0.427,0.674,5853,1464
french,RF,relationformVERB relationformNOUN ngrams deprelneg deprel Sidorovbigramsupostag,0.672,0.997,0.803,0.813,0.027,0.052,0.742,0.512,0.427,0.674,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsdeprel ngrams deprelneg Sidorovbigramsupostag,0.672,0.997,0.803,0.813,0.027,0.052,0.742,0.512,0.427,0.674,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform ngrams deprelneg deprel Sidorovbigramsupostag,0.672,0.997,0.803,0.813,0.027,0.052,0.742,0.512,0.427,0.674,5853,1464
french,RF,relationformVERB Sidorovbigramsdeprel Sidorovbigramsform ngrams deprel Sidorovbigramsupostag,0.672,0.997,0.803,0.813,0.027,0.052,0.742,0.512,0.427,0.674,5853,1464
french,RF,relationformADJ relationformNOUN deprel,0.670,0.983,0.797,0.469,0.031,0.058,0.569,0.507,0.427,0.665,5853,1464
french,RF,relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform ngrams deprel Sidorovbigramsupostag,0.672,0.996,0.802,0.765,0.027,0.052,0.718,0.511,0.427,0.673,5853,1464
french,RF,relationformVERB relationformNOUN ngrams deprel Sidorovbigramsupostag,0.672,0.996,0.802,0.765,0.027,0.052,0.718,0.511,0.427,0.673,5853,1464
french,RF,relationformVERB deprelneg Sidorovbigramsupostag,0.670,0.982,0.796,0.455,0.031,0.058,0.562,0.506,0.427,0.665,5853,1464
french,RF,relationformADJ ngrams deprelneg deprel Sidorovbigramsupostag,0.672,0.995,0.802,0.722,0.027,0.051,0.697,0.511,0.427,0.672,5853,1464
french,RF,relationformNOUN Sidorovbigramsupostag,0.670,0.988,0.799,0.539,0.029,0.055,0.604,0.508,0.427,0.668,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN ngrams deprel Sidorovbigramsupostag,0.672,0.995,0.802,0.722,0.027,0.051,0.697,0.511,0.427,0.672,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform ngrams deprel Sidorovbigramsupostag,0.672,0.995,0.802,0.722,0.027,0.051,0.697,0.511,0.427,0.672,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsform deprelneg deprel,0.670,0.987,0.798,0.519,0.029,0.054,0.594,0.508,0.426,0.667,5853,1464
french,RF,relationformADJ Sidorovbigramsdeprel Sidorovbigramsform ngrams deprel Sidorovbigramsupostag,0.671,0.993,0.801,0.650,0.027,0.051,0.661,0.510,0.426,0.671,5853,1464
spanish,LR,relationformADJ deprelneg,0.662,0.934,0.775,0.255,0.045,0.077,0.459,0.490,0.426,0.638,7200,1800
french,RF,relationformNOUN Sidorovbigramsdeprel ngrams deprel Sidorovbigramsupostag,0.672,0.998,0.803,0.857,0.025,0.048,0.764,0.511,0.425,0.674,5853,1464
french,RF,relationformADJ relationformNOUN deprelneg deprel,0.670,0.990,0.799,0.565,0.027,0.051,0.618,0.508,0.425,0.669,5853,1464
french,RF,relationformADJ relationformNOUN ngrams deprel Sidorovbigramsupostag,0.672,0.997,0.803,0.800,0.025,0.048,0.736,0.511,0.425,0.673,5853,1464
french,RF,relationformADJ relationformNOUN Sidorovbigramsdeprel ngrams Sidorovbigramsupostag,0.672,0.997,0.803,0.800,0.025,0.048,0.736,0.511,0.425,0.673,5853,1464
french,RF,relationformNOUN Sidorovbigramsdeprel ngrams deprelneg deprel Sidorovbigramsupostag,0.672,0.997,0.803,0.800,0.025,0.048,0.736,0.511,0.425,0.673,5853,1464
french,RF,relationformNOUN Sidorovbigramsform Sidorovbigramsupostag,0.672,0.997,0.803,0.800,0.025,0.048,0.736,0.511,0.425,0.673,5853,1464
french,RF,relationformVERB deprel,0.669,0.983,0.796,0.452,0.029,0.054,0.560,0.506,0.425,0.665,5853,1464
french,RF,relationformVERB ngrams deprel Sidorovbigramsupostag,0.672,0.997,0.803,0.800,0.025,0.048,0.736,0.511,0.425,0.673,5853,1464
french,RF,relationformVERB ngrams deprelneg deprel Sidorovbigramsupostag,0.672,0.997,0.803,0.800,0.025,0.048,0.736,0.511,0.425,0.673,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform ngrams deprelneg Sidorovbigramsupostag,0.672,0.997,0.803,0.800,0.025,0.048,0.736,0.511,0.425,0.673,5853,1464
french,RF,relationformVERB Sidorovbigramsdeprel ngrams Sidorovbigramsupostag,0.672,0.997,0.803,0.800,0.025,0.048,0.736,0.511,0.425,0.673,5853,1464
french,RF,ngrams deprelneg deprel Sidorovbigramsupostag,0.671,0.996,0.802,0.750,0.025,0.048,0.711,0.510,0.425,0.672,5853,1464
french,RF,relationformNOUN ngrams deprelneg deprel Sidorovbigramsupostag,0.671,0.996,0.802,0.750,0.025,0.048,0.711,0.510,0.425,0.672,5853,1464
french,RF,relationformVERB relationformADJ Sidorovbigramsdeprel ngrams deprelneg Sidorovbigramsupostag,0.671,0.996,0.802,0.750,0.025,0.048,0.711,0.510,0.425,0.672,5853,1464
spanish,RF,relationformNOUN relationformVERB Sidorovbigramsform,0.664,0.949,0.782,0.274,0.038,0.067,0.469,0.494,0.425,0.646,7200,1800
french,RF,relationformVERB relationformADJ deprelneg Sidorovbigramsupostag,0.670,0.986,0.797,0.482,0.027,0.051,0.576,0.506,0.424,0.666,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsupostag,0.671,0.993,0.801,0.632,0.025,0.047,0.651,0.509,0.424,0.670,5853,1464
french,RF,relationformADJ relationformNOUN deprelneg Sidorovbigramsupostag,0.668,0.976,0.793,0.378,0.029,0.053,0.523,0.503,0.423,0.661,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel ngrams deprelneg deprel Sidorovbigramsupostag,0.671,0.998,0.803,0.846,0.023,0.044,0.759,0.510,0.423,0.673,5853,1464
spanish,RF,Sidorovbigramsdeprel relationformADJ deprelneg Sidorovbigramsupostag,0.667,0.966,0.789,0.317,0.032,0.058,0.492,0.499,0.423,0.655,7200,1800
french,RF,relationformADJ Sidorovbigramsdeprel ngrams deprel Sidorovbigramsupostag,0.671,0.997,0.802,0.786,0.023,0.044,0.728,0.510,0.423,0.672,5853,1464
spanish,RF,relationformVERB deprelneg Sidorovbigramsupostag,0.668,0.976,0.793,0.370,0.028,0.053,0.519,0.502,0.423,0.661,7200,1800
french,RF,relationformVERB relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag,0.669,0.983,0.796,0.433,0.027,0.050,0.551,0.505,0.423,0.664,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform,0.671,0.997,0.802,0.786,0.023,0.044,0.728,0.510,0.423,0.672,5853,1464
french,RF,relationformVERB Sidorovbigramsdeprel Sidorovbigramsform,0.671,0.997,0.802,0.786,0.023,0.044,0.728,0.510,0.423,0.672,5853,1464
french,RF,relationformVERB Sidorovbigramsdeprel Sidorovbigramsform deprelneg,0.671,0.997,0.802,0.786,0.023,0.044,0.728,0.510,0.423,0.672,5853,1464
french,RF,Sidorovbigramsdeprel Sidorovbigramsform ngrams deprelneg deprel Sidorovbigramsupostag,0.671,0.997,0.802,0.786,0.023,0.044,0.728,0.510,0.423,0.672,5853,1464
spanish,LR,relationformADJ,0.662,0.939,0.777,0.247,0.040,0.069,0.455,0.490,0.423,0.640,7200,1800
spanish,RF,Sidorovbigramsdeprel relationformADJ Sidorovbigramsupostag,0.667,0.970,0.791,0.333,0.030,0.055,0.500,0.500,0.423,0.657,7200,1800
french,RF,ngrams deprel Sidorovbigramsupostag,0.671,0.996,0.802,0.733,0.023,0.044,0.702,0.509,0.423,0.671,5853,1464
french,RF,relationformVERB relationformADJ Sidorovbigramsdeprel Sidorovbigramsform,0.671,0.996,0.802,0.733,0.023,0.044,0.702,0.509,0.423,0.671,5853,1464
french,RF,relationformVERB relationformNOUN deprel,0.670,0.989,0.799,0.522,0.025,0.047,0.596,0.507,0.423,0.667,5853,1464
french,RF,relationformVERB Sidorovbigramsdeprel,0.670,0.989,0.799,0.522,0.025,0.047,0.596,0.507,0.423,0.667,5853,1464
french,RF,relationformVERB Sidorovbigramsdeprel ngrams deprel Sidorovbigramsupostag,0.671,0.996,0.802,0.733,0.023,0.044,0.702,0.509,0.423,0.671,5853,1464
french,RF,relationformADJ Sidorovbigramsdeprel Sidorovbigramsform deprel,0.671,0.995,0.801,0.688,0.023,0.044,0.679,0.509,0.422,0.671,5853,1464
french,RF,relationformVERB relationformADJ ngrams deprelneg deprel Sidorovbigramsupostag,0.671,0.995,0.801,0.688,0.023,0.044,0.679,0.509,0.422,0.671,5853,1464
french,RF,relationformVERB relationformADJ Sidorovbigramsdeprel Sidorovbigramsform ngrams deprel Sidorovbigramsupostag,0.671,0.995,0.801,0.688,0.023,0.044,0.679,0.509,0.422,0.671,5853,1464
french,RF,relationformVERB Sidorovbigramsform Sidorovbigramsupostag,0.671,0.995,0.801,0.688,0.023,0.044,0.679,0.509,0.422,0.671,5853,1464
french,RF,Sidorovbigramsdeprel Sidorovbigramsform,0.670,0.994,0.801,0.647,0.023,0.044,0.659,0.508,0.422,0.670,5853,1464
french,RF,Sidorovbigramsdeprel Sidorovbigramsform deprelneg,0.670,0.994,0.801,0.647,0.023,0.044,0.659,0.508,0.422,0.670,5853,1464
french,RF,relationformADJ relationformNOUN Sidorovbigramsdeprel,0.670,0.993,0.800,0.611,0.023,0.044,0.641,0.508,0.422,0.669,5853,1464
french,RF,relationformVERB deprelneg deprel,0.669,0.985,0.797,0.444,0.025,0.047,0.557,0.505,0.422,0.665,5853,1464
french,RF,relationformADJ relationformNOUN Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag,0.669,0.984,0.796,0.429,0.025,0.047,0.549,0.504,0.421,0.664,5853,1464
french,RF,relationformVERB relationformNOUN deprelneg deprel,0.670,0.991,0.799,0.550,0.023,0.043,0.610,0.507,0.421,0.668,5853,1464
french,RF,Sidorovbigramsdeprel ngrams deprelneg deprel Sidorovbigramsupostag,0.671,0.998,0.802,0.833,0.021,0.040,0.752,0.509,0.421,0.672,5853,1464
french,RF,relationformADJ Sidorovbigramsdeprel ngrams deprelneg deprel Sidorovbigramsupostag,0.671,0.997,0.802,0.769,0.021,0.040,0.720,0.509,0.421,0.671,5853,1464
french,RF,relationformNOUN Sidorovbigramsdeprel Sidorovbigramsupostag,0.669,0.990,0.799,0.524,0.023,0.043,0.597,0.506,0.421,0.667,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprelneg,0.671,0.997,0.802,0.769,0.021,0.040,0.720,0.509,0.421,0.671,5853,1464
french,RF,Sidorovbigramsdeprel ngrams deprel Sidorovbigramsupostag,0.671,0.997,0.802,0.769,0.021,0.040,0.720,0.509,0.421,0.671,5853,1464
french,RF,Sidorovbigramsform deprelneg Sidorovbigramsupostag,0.669,0.990,0.799,0.524,0.023,0.043,0.597,0.506,0.421,0.667,5853,1464
french,RF,relationformNOUN Sidorovbigramsdeprel,0.669,0.989,0.798,0.500,0.023,0.043,0.585,0.506,0.421,0.667,5853,1464
french,RF,relationformADJ relationformNOUN ngrams deprelneg deprel Sidorovbigramsupostag,0.670,0.996,0.801,0.714,0.021,0.040,0.692,0.508,0.421,0.671,5853,1464
french,RF,relationformNOUN ngrams deprel Sidorovbigramsupostag,0.670,0.996,0.801,0.714,0.021,0.040,0.692,0.508,0.421,0.671,5853,1464
french,RF,relationformADJ relationformNOUN Sidorovbigramsupostag,0.669,0.988,0.798,0.478,0.023,0.043,0.574,0.505,0.420,0.666,5853,1464
spanish,RF,relationformVERB Sidorovbigramsupostag,0.667,0.973,0.791,0.327,0.027,0.049,0.497,0.500,0.420,0.658,7200,1800
french,RF,relationformADJ relationformNOUN Sidorovbigramsdeprel ngrams deprel Sidorovbigramsupostag,0.670,0.995,0.801,0.667,0.021,0.040,0.668,0.508,0.420,0.670,5853,1464
french,RF,relationformADJ Sidorovbigramsform Sidorovbigramsupostag,0.670,0.995,0.801,0.667,0.021,0.040,0.668,0.508,0.420,0.670,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN deprelneg deprel,0.670,0.995,0.801,0.667,0.021,0.040,0.668,0.508,0.420,0.670,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsdeprel ngrams deprelneg deprel Sidorovbigramsupostag,0.670,0.995,0.801,0.667,0.021,0.040,0.668,0.508,0.420,0.670,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag,0.670,0.994,0.800,0.625,0.021,0.040,0.647,0.507,0.420,0.669,5853,1464
french,RF,relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform,0.670,0.993,0.800,0.588,0.021,0.040,0.629,0.507,0.420,0.669,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN deprel,0.670,0.993,0.800,0.588,0.021,0.040,0.629,0.507,0.420,0.669,5853,1464
spanish,RF,Sidorovbigramsdeprel relationformVERB,0.667,0.976,0.793,0.341,0.025,0.047,0.504,0.500,0.420,0.659,7200,1800
french,RF,relationformVERB relationformADJ deprelneg deprel,0.667,0.978,0.793,0.353,0.025,0.046,0.510,0.501,0.420,0.660,5853,1464
spanish,SVC,Sidorovbigramsdeprel deprelneg,0.664,0.953,0.783,0.253,0.032,0.056,0.459,0.493,0.420,0.647,7200,1800
french,RF,relationformVERB relationformNOUN deprelneg Sidorovbigramsupostag,0.669,0.992,0.799,0.556,0.021,0.040,0.613,0.506,0.419,0.668,5853,1464
french,RF,relationformVERB relationformADJ Sidorovbigramsdeprel ngrams deprelneg deprel Sidorovbigramsupostag,0.670,0.998,0.802,0.818,0.018,0.036,0.744,0.508,0.419,0.671,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsdeprel,0.670,0.998,0.802,0.818,0.018,0.036,0.744,0.508,0.419,0.671,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsform deprelneg deprel Sidorovbigramsupostag,0.670,0.998,0.802,0.818,0.018,0.036,0.744,0.508,0.419,0.671,5853,1464
french,RF,relationformADJ relationformNOUN Sidorovbigramsdeprel ngrams deprelneg deprel Sidorovbigramsupostag,0.670,0.997,0.802,0.750,0.018,0.036,0.710,0.508,0.419,0.671,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel,0.670,0.997,0.802,0.750,0.018,0.036,0.710,0.508,0.419,0.671,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel ngrams deprel Sidorovbigramsupostag,0.670,0.997,0.802,0.750,0.018,0.036,0.710,0.508,0.419,0.671,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform,0.670,0.997,0.802,0.750,0.018,0.036,0.710,0.508,0.419,0.671,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform Sidorovbigramsupostag,0.670,0.997,0.802,0.750,0.018,0.036,0.710,0.508,0.419,0.671,5853,1464
french,RF,relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsupostag,0.669,0.989,0.798,0.476,0.021,0.039,0.572,0.505,0.419,0.666,5853,1464
french,RF,relationformADJ Sidorovbigramsdeprel Sidorovbigramsform,0.670,0.996,0.801,0.692,0.018,0.036,0.681,0.507,0.419,0.670,5853,1464
french,RF,relationformADJ Sidorovbigramsform deprel Sidorovbigramsupostag,0.670,0.996,0.801,0.692,0.018,0.036,0.681,0.507,0.419,0.670,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprelneg,0.670,0.996,0.801,0.692,0.018,0.036,0.681,0.507,0.419,0.670,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsdeprel deprelneg,0.670,0.996,0.801,0.692,0.018,0.036,0.681,0.507,0.419,0.670,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag,0.670,0.996,0.801,0.692,0.018,0.036,0.681,0.507,0.419,0.670,5853,1464
french,RF,relationformVERB Sidorovbigramsdeprel Sidorovbigramsform deprelneg Sidorovbigramsupostag,0.670,0.996,0.801,0.692,0.018,0.036,0.681,0.507,0.419,0.670,5853,1464
spanish,RF,chargrams relationformVERB,0.655,0.902,0.759,0.197,0.048,0.078,0.426,0.475,0.418,0.618,7200,1800
french,RF,relationformNOUN deprelneg deprel,0.669,0.988,0.797,0.455,0.021,0.039,0.562,0.504,0.418,0.665,5853,1464
spanish,RF,Sidorovbigramsdeprel chargrams relationformADJ deprelneg,0.656,0.906,0.761,0.199,0.047,0.076,0.427,0.476,0.418,0.620,7200,1800
french,RF,relationformADJ Sidorovbigramsdeprel Sidorovbigramsform Sidorovbigramsupostag,0.670,0.995,0.801,0.643,0.018,0.036,0.656,0.507,0.418,0.669,5853,1464
french,RF,relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform,0.670,0.995,0.801,0.643,0.018,0.036,0.656,0.507,0.418,0.669,5853,1464
french,RF,relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprel,0.670,0.995,0.801,0.643,0.018,0.036,0.656,0.507,0.418,0.669,5853,1464
french,RF,relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprelneg Sidorovbigramsupostag,0.670,0.995,0.801,0.643,0.018,0.036,0.656,0.507,0.418,0.669,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform Sidorovbigramsupostag,0.670,0.995,0.801,0.643,0.018,0.036,0.656,0.507,0.418,0.669,5853,1464
spanish,RF,relationformVERB relationformADJ Sidorovbigramsupostag,0.668,0.983,0.795,0.382,0.022,0.041,0.525,0.502,0.418,0.663,7200,1800
french,RF,relationformVERB Sidorovbigramsform deprelneg Sidorovbigramsupostag,0.670,0.995,0.801,0.643,0.018,0.036,0.656,0.507,0.418,0.669,5853,1464
french,RF,Sidorovbigramsdeprel Sidorovbigramsform deprel,0.670,0.995,0.801,0.643,0.018,0.036,0.656,0.507,0.418,0.669,5853,1464
spanish,RF,chargrams relationformADJ deprelneg Sidorovbigramsform,0.659,0.923,0.769,0.207,0.040,0.067,0.433,0.482,0.418,0.629,7200,1800
french,RF,relationformVERB relationformADJ Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag,0.667,0.980,0.794,0.355,0.023,0.042,0.511,0.501,0.418,0.661,5853,1464
spanish,RF,chargrams relationformNOUN Sidorovbigramsupostag,0.657,0.913,0.764,0.200,0.043,0.071,0.428,0.478,0.418,0.624,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformADJ Sidorovbigramsupostag Sidorovbigramsform ngram,0.660,0.933,0.773,0.214,0.037,0.063,0.437,0.485,0.418,0.634,7200,1800
spanish,RF,chargrams deprelneg Sidorovbigramsupostag,0.656,0.908,0.762,0.197,0.045,0.073,0.427,0.477,0.418,0.621,7200,1800
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsform Sidorovbigramsupostag,0.669,0.993,0.800,0.563,0.018,0.036,0.616,0.506,0.418,0.668,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsupostag,0.669,0.993,0.800,0.563,0.018,0.036,0.616,0.506,0.418,0.668,5853,1464
spanish,RF,Sidorovbigramsdeprel chargrams relationformNOUN relationformVERB Sidorovbigramsupostag ngram,0.660,0.932,0.773,0.212,0.037,0.063,0.436,0.484,0.418,0.634,7200,1800
spanish,RF,relationformNOUN relationformVERB relationformADJ deprelneg Sidorovbigramsform,0.662,0.947,0.779,0.229,0.032,0.056,0.446,0.489,0.418,0.642,7200,1800
french,RF,relationformADJ relationformNOUN Sidorovbigramsdeprel deprelneg deprel,0.670,0.999,0.802,0.889,0.016,0.032,0.780,0.508,0.417,0.671,5853,1464
french,RF,Sidorovbigramsform deprelneg deprel Sidorovbigramsupostag,0.670,0.999,0.802,0.889,0.016,0.032,0.780,0.508,0.417,0.671,5853,1464
spanish,RF,Sidorovbigramsdeprel chargrams relationformNOUN relationformVERB deprelneg,0.657,0.916,0.765,0.198,0.042,0.069,0.428,0.479,0.417,0.625,7200,1800
french,RF,relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprelneg deprel Sidorovbigramsupostag,0.670,0.998,0.802,0.800,0.016,0.032,0.735,0.507,0.417,0.671,5853,1464
french,RF,relationformADJ relationformNOUN Sidorovbigramsform deprelneg deprel Sidorovbigramsupostag,0.670,0.998,0.802,0.800,0.016,0.032,0.735,0.507,0.417,0.671,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel deprelneg,0.670,0.998,0.802,0.800,0.016,0.032,0.735,0.507,0.417,0.671,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsform deprel Sidorovbigramsupostag,0.670,0.998,0.802,0.800,0.016,0.032,0.735,0.507,0.417,0.671,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprelneg Sidorovbigramsupostag,0.670,0.998,0.802,0.800,0.016,0.032,0.735,0.507,0.417,0.671,5853,1464
spanish,RF,Sidorovbigramsdeprel relationformNOUN,0.667,0.978,0.793,0.325,0.022,0.041,0.496,0.500,0.417,0.659,7200,1800
spanish,RF,relationformVERB deprelneg Sidorovbigramsform deprel,0.664,0.960,0.785,0.250,0.027,0.048,0.457,0.493,0.417,0.649,7200,1800
french,RF,relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprel,0.670,0.997,0.801,0.727,0.016,0.032,0.698,0.507,0.417,0.670,5853,1464
french,RF,relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprelneg Sidorovbigramsupostag,0.670,0.997,0.801,0.727,0.016,0.032,0.698,0.507,0.417,0.670,5853,1464
french,RF,relationformVERB relationformADJ Sidorovbigramsdeprel Sidorovbigramsform Sidorovbigramsupostag,0.670,0.997,0.801,0.727,0.016,0.032,0.698,0.507,0.417,0.670,5853,1464
french,RF,relationformVERB relationformADJ Sidorovbigramsform deprelneg Sidorovbigramsupostag,0.670,0.997,0.801,0.727,0.016,0.032,0.698,0.507,0.417,0.670,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprelneg deprel,0.670,0.997,0.801,0.727,0.016,0.032,0.698,0.507,0.417,0.670,5853,1464
french,RF,relationformVERB Sidorovbigramsdeprel Sidorovbigramsform deprel,0.670,0.997,0.801,0.727,0.016,0.032,0.698,0.507,0.417,0.670,5853,1464
spanish,RF,Sidorovbigramsdeprel relationformVERB deprelneg Sidorovbigramsupostag,0.667,0.977,0.793,0.317,0.022,0.041,0.492,0.499,0.417,0.659,7200,1800
french,RF,relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform Sidorovbigramsupostag,0.669,0.996,0.801,0.667,0.016,0.032,0.668,0.506,0.416,0.669,5853,1464
french,RF,relationformADJ relationformNOUN Sidorovbigramsform deprelneg Sidorovbigramsupostag,0.669,0.996,0.801,0.667,0.016,0.032,0.668,0.506,0.416,0.669,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprel,0.669,0.996,0.801,0.667,0.016,0.032,0.668,0.506,0.416,0.669,5853,1464
french,RF,relationformVERB relationformADJ Sidorovbigramsdeprel Sidorovbigramsform deprelneg,0.669,0.996,0.801,0.667,0.016,0.032,0.668,0.506,0.416,0.669,5853,1464
french,RF,relationformVERB Sidorovbigramsdeprel Sidorovbigramsform deprelneg deprel,0.669,0.996,0.801,0.667,0.016,0.032,0.668,0.506,0.416,0.669,5853,1464
french,RF,relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprelneg,0.669,0.995,0.800,0.615,0.016,0.032,0.642,0.506,0.416,0.669,5853,1464
french,RF,relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprelneg,0.669,0.995,0.800,0.615,0.016,0.032,0.642,0.506,0.416,0.669,5853,1464
